title,published,source,venue,doi,url,pdf_url,score,matched_terms,ai_summary_zh
Asclepius: An Adaptive Harness for Long-Horizon Clinical Agents,2026-09-11,OpenAlex,arXiv (Cornell University),,https://openalex.org/W7213372817,https://arxiv.org/pdf/2609.13543,8,self-evolution + agent,研究以临床环境模拟器为测试平台，考察智能体在急诊科整班次连续时间与资源压力下的长程执行表现，识别出指令遵循漂移、治疗不完整与时效公平性差距三类失败模式。所提出的Asclepius自适应脚手架通过班次间依据轨迹反馈自我改写操作手册、外置临床技能库及三个隔离子智能体分工决策，在未见批次上将关键动作正确率提升22%，并保持诊断准确率。
World Models for Embodied Intelligence: From Plausible to Controllable to Actionable,2026-09-11,OpenAlex,Preprints.org,https://doi.org/10.20944/preprints202609.0894.v1,https://doi.org/10.20944/preprints202609.0894.v1,https://doi.org/10.20944/preprints202609.0894.v1,8,self-evolution + agent,该综述针对具身智能中的世界模型，提出从“可信”“可控”到“可行动”的三级能力框架，并构建几何、物理、动作基础与数据、奖励、策略、模型自改进循环交叉的3×4分析矩阵，系统梳理操作、导航、运动、自动驾驶等领域的进展，强调预测应服务于行为改进而非仅视觉保真。
Safety in Self-Evolving Agents: A Survey,2026-09-10,OpenAlex,,https://doi.org/10.13140/rg.2.2.23319.74403,https://doi.org/10.13140/rg.2.2.23319.74403,https://doi.org/10.13140/rg.2.2.23319.74403,24,self-evolution + agent; self-evolving agents,该综述聚焦自进化智能体的安全问题，围绕其在自我演化过程中可能出现的安全风险与防护需求展开梳理，并依据关键词对相关研究进行归纳，旨在为该方向提供系统性参考。
"Guardrailed Meta-Agent Loops: Stress-Testing Policy Pinning, Budget Bounds, and Crash Recovery",2026-09-10,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.12216,https://doi.org/10.48550/arxiv.2609.12216,https://arxiv.org/pdf/2609.12216,19,self-evolution + agent; self-improving agent,提出GuardrailLoop仿真测试平台，将人类策略保持、计算核算与崩溃后科学状态恢复三项契约联合验证，通过哈希固定策略并限制机器演化范围。在50种子配对实验中，轮次增长提升目标达成并减少算力消耗，但240次崩溃注入中仅210次保持归一化轨迹，说明结果恢复不等于精确一次执行。
The Last AI Built by Humans: Toward Genuine Recursive Self-Improvement,2026-09-10,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.11873,https://doi.org/10.48550/arxiv.2609.11873,https://arxiv.org/pdf/2609.11873,9,recursive self-improvement,论文提出递归自我改进（RSI）概念及发展路线图，从改进执行、策略、经验获取、环境适应自主性到递归元改进，并借助Headroom-Closed Index揭示现有大语言模型的问题，结合科学发现、具身智能、软件工程等场景分析其差异化需求，连接研究与实际系统并指出实现真正RSI的关键挑战。
Ecdysis: Efficient and Effective Training of Runtime Harnesses for LLM Agents,2026-09-10,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.11677,https://doi.org/10.48550/arxiv.2609.11677,https://arxiv.org/pdf/2609.11677,8,self-evolution + agent,针对现有运行时框架演化方法依赖迭代搜索、反复执行任务导致耗时且易过拟合的问题，Ecdysis通过批量跨实例失败聚合与失败驱动协同精炼，区分模型特有问题与框架系统性缺陷，从而以更低训练时间实现更有效的框架演化，最高获得1.84倍加速。
Auto-RecSys: Harnessing Autonomous Research Agents for Industry-Scale Recommender System,2026-09-10,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.10922,https://doi.org/10.48550/arxiv.2609.10922,https://arxiv.org/pdf/2609.10922,8,self-evolution + agent,Auto-RecSys面向工业级推荐模型的长周期自主研究，通过分布式异步执行、跨服务器集中记忆与认知—流程分离三项机制，并采用执行进化与想法进化双环自演化架构，让模型专属操作手册积累经验、实验结果反哺后续构思，从而缩短每轮实验所需人工时间并提升执行可靠性。
Data-Efficient Language Modeling: From Frontier Advancement to Principle-Guided Model Improvement,2026-09-09,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.10702,https://doi.org/10.48550/arxiv.2609.10702,https://arxiv.org/pdf/2609.10702,7,recursive self-improvement,研究在BabyLM 2026严格小样本设定下开展长周期自主研究，通过前沿推进、原理发现与原理引导改进三阶段，提出围绕预测所需上下文依赖组织经验的数据高效学习原则，并实现研究过程本身的递归自我改进。
Closing the Consistency Gap: Self-Evolving Agents That Learn to Stay on Course,2026-09-08,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.08832,https://doi.org/10.48550/arxiv.2609.08832,https://arxiv.org/pdf/2609.08832,36,self-evolution + agent; self-evolving agent; self-evolving agents,大型语言模型驱动的智能体在平均准确率上表现良好，但生产环境中可靠性不足，存在“一致性差距”。为此提出一种自进化智能体框架，通过一致性分析器定位轨迹中的不稳定步骤，并将诊断转化为指导准则存入情景记忆，以提升未来执行的稳定性。在AppWorld基准上，该方法使五次运行全部成功的任务比例提升16个百分点，并在相似任务上实现13个百分点的泛化增益。
Experience Funnel: A State-Policy Alternating Loop for Self-Evolving Agents,2026-09-08,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.08919,https://doi.org/10.48550/arxiv.2609.08919,https://arxiv.org/pdf/2609.08919,24,self-evolution + agent; self-evolving agents,提出Experience Funnel框架，通过状态适应与策略整合的交替循环实现智能体自进化。该方法将交互轨迹蒸馏为显式文本状态以快速适应，再选择性整合为参数化策略，实验表明其性能优于仅状态演化或策略内化方法。
Environments as Scaffold: Enriching Feedback to Bootstrap Self-Evolving Agents in Long-Horizon Tasks,2026-09-08,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.08404,https://doi.org/10.48550/arxiv.2609.08404,https://arxiv.org/pdf/2609.08404,24,self-evolution + agent; self-evolving agents,针对长时程任务中强化学习训练自进化Agent面临的奖励稀疏问题，提出环境侧适应范式，通过构建反馈丰富环境（FEEs）将动作引导转为观测增强，以缓解数据稀缺和探索受限。在SciWorld和BFCL基准上结合多种Qwen3模型及RL算法验证，FEEs稳定训练动态、促进状态空间探索，并将环境指导内化为策略权重。
NeoHorse-1: Towards Recursive Self-Improvement via Agentic Post-Training with Routing Harness,2026-09-08,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.08183,https://doi.org/10.48550/arxiv.2609.08183,https://arxiv.org/pdf/2609.08183,19,recursive self-improvement; self-evolution + agent,NeoHorse-1是一组面向智能体的原生模型，通过异构模型池与智能路由记录能力需求、服务层级和交互，将其转化为保留推理、工具调用与执行框架上下文的训练样本，并借助路由信号组织三阶段课程与策略蒸馏，形成评估—选择—更新的闭环，在十一项基准上显著提升4B与9B模型表现。
SAEScientist-Bench: Can AI Agents Conduct Autonomous SAE Interpretability Research?,2026-09-08,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.09113,https://doi.org/10.48550/arxiv.2609.09113,https://arxiv.org/pdf/2609.09113,15,recursive self-improvement; self-evolution + agent,该研究提出SAEScientist-Bench基准，用于评估AI智能体能否像科学家一样利用稀疏自编码器工具开展自主机制可解释性研究。智能体需在Gemma-2-9B-IT的13万余个特征字典中设计对比探针并定位最优特征，结果显示前沿智能体具备真实发现能力，但在因果引导等维度仍显著落后于专家基线。
Procedural Graphs: Self-Evolving Execution Structures for LLM Agents,2026-09-08,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.09153,https://doi.org/10.48550/arxiv.2609.09153,https://arxiv.org/pdf/2609.09153,10,self-evolution + agent,提出程序图结构，将智能体的程序性知识组织为“过程—关系—过程”三元组，并在每步决策时定位活跃节点、由引导模型将子图转化为情境指导以偏置求解器动作；该图可自演化，通过对比失败与成功轨迹编辑拓扑与属性，在多数据集与模型上稳定优于记忆基线。
SkillAdam: Stable and Efficient Skill Evolution for Agents,2026-09-08,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.08944,https://doi.org/10.48550/arxiv.2609.08944,https://arxiv.org/pdf/2609.08944,8,self-evolution + agent,提出受Adam启发的SkillAdam框架，用于优化离散且不可微的Agent技能文档，通过优化记忆稳定更新方向、以波动驱动的编辑预算自适应控制更新幅度，在七个基准上实现更稳定高效的技能自进化。
MetaRSI / RSI2: A Meta-Recursive Self-Improving System for Recursive Self-Improving Systems Themselves,2026-09-06,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.06396,https://doi.org/10.48550/arxiv.2609.06396,https://arxiv.org/pdf/2609.06396,7,recursive self-improvement,提出MetaRSI-v1元递归自我改进系统，将改进建模为数据、脚手架与模型三类算子的调度组合，共享同一循环内核与产物词汇，并由双轴优化器决定算子顺序与提案策略、元级策略跨轮修订调度；在代码与闭式科学任务上以标准评测验证，且无需外部教师，目标模型在自身循环中扮演全部角色。
AgentDescent: Asynchronous Parallel Self-Evolution of LLM Agents by Merging Conflicting Edits,2026-09-05,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22348027,https://doi.org/10.5281/zenodo.22348027,https://doi.org/10.5281/zenodo.22348027,22,self-evolution + agent; self-evolving agent,本研究提出AgentDescent，一种异步并行自进化Agent框架，通过反射式合并冲突编辑而非丢弃候选方案，显著降低验证成本。在诊断测试中，该方法实现42/48的融合成功率，而基线配置为0/48，同时减少40%的模型调用次数，并给出合并触发频率的闭式上界。
"Who Maintains Agent Skills? A Longitudinal Study of Human-Governed, AI-Assisted Skill Maintenance",2026-09-04,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.05677,https://doi.org/10.48550/arxiv.2609.05677,https://arxiv.org/pdf/2609.05677,20,self-evolution + agent; self-evolving agents,本研究通过挖掘五个公共AI技能仓库的873次提交与254次实质性编辑，纵向考察了终身LLM代理的技能维护机制。结果显示，所有编辑均由人类账户主导，62%带有AI共同作者标记，且多数操作属于内容增补与修正。这表明当前技能维护更像人类治理、AI辅助的循环过程，而非自主流水线，为自进化代理的技能策展提供了实证基准与可复现语料。
SimSkill: A Self-Evolving LLM Agent for Skill and Knowledge Accumulation in Traffic Simulation,2026-09-03,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.03753,https://doi.org/10.48550/arxiv.2609.03753,https://arxiv.org/pdf/2609.03753,22,self-evolution + agent; self-evolving agent,围绕SUMO交通仿真器构建自进化智能体SimSkill，通过识别能力缺口、生成并求解任务、行动—评论循环验证，将经验沉淀为情景、程序与语义记忆，形成可复用技能库；在两项基准和三种主干模型上验证成功率最高提升25个百分点，但收益依赖主干与预算。
